Length:   1, 	Linear:  1, 	Polynomial: x^1 + 1;
Length:   2, 	Linear:  1, 	Polynomial: x^1;
Length:   3, 	Linear:  1, 	Polynomial: x^1;
Length:   4, 	Linear:  1, 	Polynomial: x^1;
Length:   5, 	Linear:  1, 	Polynomial: x^1;
Length:   6, 	Linear:  1, 	Polynomial: x^1;
Length:   7, 	Linear:  6, 	Polynomial: x^6 + 1;
Length:   8, 	Linear:  6, 	Polynomial: x^6 + 1;
Length:   9, 	Linear:  6, 	Polynomial: x^6 + 1;
Length:  10, 	Linear:  6, 	Polynomial: x^6 + x^3 + 1;
Length:  11, 	Linear:  6, 	Polynomial: x^6 + x^3 + x^2 + 1;
Length:  12, 	Linear:  6, 	Polynomial: x^6 + x^3 + x^2 + x^1 + 1;
Length:  13, 	Linear:  7, 	Polynomial: x^7 + x^4 + x^3 + x^2;
Length:  14, 	Linear:  7, 	Polynomial: x^7 + x^4 + x^3 + x^2;
Length:  15, 	Linear:  8, 	Polynomial: x^8 + x^6 + x^5 + x^4 + x^2 + x^1 + 1;
Length:  16, 	Linear:  8, 	Polynomial: x^8 + x^6 + x^5 + x^4 + x^2 + x^1 + 1;
Length:  17, 	Linear:  9, 	Polynomial: x^9 + x^6 + x^5 + x^4 + x^1;
Length:  18, 	Linear:  9, 	Polynomial: x^9 + x^6 + x^5 + x^4 + x^1;
Length:  19, 	Linear: 10, 	Polynomial: x^10 + x^8 + x^7 + x^4 + x^1 + 1;
Length:  20, 	Linear: 10, 	Polynomial: x^10 + x^8 + x^7 + x^4 + x^1 + 1;
Length:  21, 	Linear: 10, 	Polynomial: x^10 + x^8 + x^7 + x^4 + x^1 + 1;
Length:  22, 	Linear: 12, 	Polynomial: x^12 + x^10 + x^5 + x^4 + x^3 + x^2 + x^1;
Length:  23, 	Linear: 12, 	Polynomial: x^12 + x^11 + x^10 + x^9 + x^8 + x^4 + x^3;
Length:  24, 	Linear: 12, 	Polynomial: x^12 + x^11 + x^10 + x^9 + x^8 + x^4 + x^3;
Length:  25, 	Linear: 13, 	Polynomial: x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5 + x^1 + 1;
Length:  26, 	Linear: 13, 	Polynomial: x^13 + x^10 + x^7 + x^5 + x^4 + x^3 + x^1 + 1;
Length:  27, 	Linear: 13, 	Polynomial: x^13 + x^10 + x^7 + x^5 + x^4 + x^3 + x^1 + 1;
Length:  28, 	Linear: 15, 	Polynomial: x^15 + x^11 + x^10 + x^8 + x^7 + x^6 + x^5 + x^4 + x^2;
Length:  29, 	Linear: 15, 	Polynomial: x^15 + x^14 + x^10 + x^7 + x^1;
Length:  30, 	Linear: 15, 	Polynomial: x^15 + x^14 + x^10 + x^7 + x^1;
Length:  31, 	Linear: 15, 	Polynomial: x^15 + x^14 + x^10 + x^7 + x^1;
Length:  32, 	Linear: 15, 	Polynomial: x^15 + x^14 + x^10 + x^7 + x^1;
Length:  33, 	Linear: 15, 	Polynomial: x^15 + x^14 + x^10 + x^7 + x^1;
Length:  34, 	Linear: 15, 	Polynomial: x^15 + x^14 + x^10 + x^7 + x^1;
Length:  35, 	Linear: 15, 	Polynomial: x^15 + x^14 + x^10 + x^7 + x^1;
Length:  36, 	Linear: 15, 	Polynomial: x^15 + x^14 + x^10 + x^7 + x^1;
Length:  37, 	Linear: 15, 	Polynomial: x^15 + x^14 + x^10 + x^7 + x^1;
Length:  38, 	Linear: 15, 	Polynomial: x^15 + x^14 + x^10 + x^7 + x^1;
Length:  39, 	Linear: 15, 	Polynomial: x^15 + x^14 + x^10 + x^7 + x^1;
Length:  40, 	Linear: 25, 	Polynomial: x^25 + x^24 + x^20 + x^17 + x^13 + x^11 + x^10 + x^7 + x^5 + x^4 + x^3 + x^1 + 1;
Length:  41, 	Linear: 25, 	Polynomial: x^25 + x^24 + x^20 + x^17 + x^13 + x^11 + x^10 + x^7 + x^5 + x^4 + x^3 + x^1 + 1;
Length:  42, 	Linear: 25, 	Polynomial: x^25 + x^24 + x^23 + x^22 + x^20 + x^18 + x^17 + x^15 + x^13 + x^11 + x^10 + x^9 + x^7 + x^5 + x^4 + x^3 + x^1 + 1;
Length:  43, 	Linear: 25, 	Polynomial: x^25 + x^24 + x^23 + x^21 + x^20 + x^18 + x^15 + x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^5 + x^4 + x^3 + x^1 + 1;
Length:  44, 	Linear: 25, 	Polynomial: x^25 + x^24 + x^23 + x^18 + x^16 + x^15 + x^14 + x^11 + x^10 + x^9 + x^8 + x^5 + x^4 + x^3 + x^1 + 1;
Length:  45, 	Linear: 25, 	Polynomial: x^25 + x^24 + x^23 + x^18 + x^16 + x^15 + x^14 + x^11 + x^10 + x^9 + x^8 + x^5 + x^4 + x^3 + x^1 + 1;
Length:  46, 	Linear: 25, 	Polynomial: x^25 + x^24 + x^23 + x^18 + x^16 + x^15 + x^14 + x^11 + x^10 + x^9 + x^8 + x^5 + x^4 + x^3 + x^1 + 1;
Length:  47, 	Linear: 25, 	Polynomial: x^25 + x^24 + x^23 + x^17 + x^16 + x^15 + x^14 + x^13 + x^11 + x^9 + x^8 + x^5 + x^3 + x^1 + 1;
Length:  48, 	Linear: 25, 	Polynomial: x^25 + x^24 + x^23 + x^17 + x^16 + x^15 + x^14 + x^13 + x^11 + x^9 + x^8 + x^5 + x^3 + x^1 + 1;
Length:  49, 	Linear: 25, 	Polynomial: x^25 + x^24 + x^23 + x^17 + x^16 + x^15 + x^14 + x^13 + x^11 + x^9 + x^8 + x^5 + x^3 + x^1 + 1;
Length:  50, 	Linear: 25, 	Polynomial: x^25 + x^24 + x^23 + x^17 + x^16 + x^15 + x^14 + x^13 + x^11 + x^9 + x^8 + x^5 + x^3 + x^1 + 1;
Length:  51, 	Linear: 25, 	Polynomial: x^25 + x^24 + x^23 + x^17 + x^16 + x^15 + x^14 + x^13 + x^11 + x^9 + x^8 + x^5 + x^3 + x^1 + 1;
Length:  52, 	Linear: 27, 	Polynomial: x^27 + x^26 + x^25 + x^19 + x^18 + x^17 + x^16 + x^14 + x^13 + x^11 + x^5 + x^3 + x^2 + x^1;
Length:  53, 	Linear: 27, 	Polynomial: x^27 + x^26 + x^25 + x^19 + x^18 + x^17 + x^16 + x^14 + x^13 + x^11 + x^5 + x^3 + x^2 + x^1;
Length:  54, 	Linear: 27, 	Polynomial: x^27 + x^26 + x^25 + x^19 + x^18 + x^17 + x^16 + x^14 + x^13 + x^11 + x^5 + x^3 + x^2 + x^1;
Length:  55, 	Linear: 28, 	Polynomial: x^28 + x^27 + x^26 + x^25 + x^24 + x^23 + x^20 + x^19 + x^18 + x^16 + x^13 + x^12 + x^11 + x^9 + x^8 + x^6 + x^5 + x^4 + x^2 + x^1 + 1;
Length:  56, 	Linear: 28, 	Polynomial: x^28 + x^24 + x^23 + x^20 + x^17 + x^14 + x^12 + x^9 + x^8 + x^6 + x^4 + x^3 + 1;
Length:  57, 	Linear: 28, 	Polynomial: x^28 + x^24 + x^23 + x^20 + x^17 + x^14 + x^12 + x^9 + x^8 + x^6 + x^4 + x^3 + 1;
Length:  58, 	Linear: 28, 	Polynomial: x^28 + x^24 + x^23 + x^20 + x^17 + x^14 + x^12 + x^9 + x^8 + x^6 + x^4 + x^3 + 1;
Length:  59, 	Linear: 28, 	Polynomial: x^28 + x^24 + x^23 + x^20 + x^17 + x^14 + x^12 + x^9 + x^8 + x^6 + x^4 + x^3 + 1;
Length:  60, 	Linear: 32, 	Polynomial: x^32 + x^28 + x^26 + x^25 + x^24 + x^21 + x^19 + x^17 + x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5 + x^4 + x^3 + x^2 + x^1;
Length:  61, 	Linear: 32, 	Polynomial: x^32 + x^28 + x^26 + x^25 + x^24 + x^21 + x^19 + x^17 + x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5 + x^4 + x^3 + x^2 + x^1;
Length:  62, 	Linear: 32, 	Polynomial: x^32 + x^28 + x^26 + x^25 + x^24 + x^21 + x^19 + x^17 + x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5 + x^4 + x^3 + x^2 + x^1;
Length:  63, 	Linear: 32, 	Polynomial: x^32 + x^29 + x^28 + x^26 + x^19 + x^18 + x^17 + x^15 + x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^3 + x^2;
Length:  64, 	Linear: 32, 	Polynomial: x^32 + x^29 + x^26 + x^24 + x^23 + x^20 + x^19 + x^18 + x^15 + x^13 + x^11 + x^6 + x^4 + x^2 + 1;
Length:  65, 	Linear: 33, 	Polynomial: x^33 + x^30 + x^28 + x^27 + x^25 + x^23 + x^21 + x^19 + x^17 + x^16 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4 + x^1 + 1;
Length:  66, 	Linear: 33, 	Polynomial: x^33 + x^32 + x^30 + x^29 + x^28 + x^27 + x^26 + x^25 + x^24 + x^21 + x^20 + x^18 + x^17 + x^16 + x^15 + x^13 + x^11 + x^9 + x^8 + x^7 + x^5 + x^2 + x^1;
Length:  67, 	Linear: 34, 	Polynomial: x^34 + x^33 + x^32 + x^31 + x^30 + x^28 + x^27 + x^25 + x^24 + x^23 + x^22 + x^21 + x^20 + x^17 + x^16 + x^15 + x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^4 + x^3 + 1;
Length:  68, 	Linear: 34, 	Polynomial: x^34 + x^31 + x^29 + x^26 + x^23 + x^22 + x^18 + x^14 + x^12 + x^10 + x^7 + x^5 + x^4 + x^3 + x^2 + x^1 + 1;
Length:  69, 	Linear: 34, 	Polynomial: x^34 + x^31 + x^29 + x^26 + x^23 + x^22 + x^18 + x^14 + x^12 + x^10 + x^7 + x^5 + x^4 + x^3 + x^2 + x^1 + 1;
Length:  70, 	Linear: 36, 	Polynomial: x^36 + x^32 + x^31 + x^30 + x^29 + x^27 + x^26 + x^21 + x^18 + x^17 + x^15 + x^14 + x^13 + x^12 + x^11 + x^8 + x^6 + x^4 + x^3 + x^1;
Length:  71, 	Linear: 36, 	Polynomial: x^36 + x^32 + x^31 + x^30 + x^29 + x^27 + x^26 + x^21 + x^18 + x^17 + x^15 + x^14 + x^13 + x^12 + x^11 + x^8 + x^6 + x^4 + x^3 + x^1;
Length:  72, 	Linear: 36, 	Polynomial: x^36 + x^34 + x^32 + x^30 + x^27 + x^23 + x^22 + x^21 + x^17 + x^15 + x^13 + x^11 + x^10 + x^8 + x^7 + x^6 + x^5 + x^2 + 1;
Length:  73, 	Linear: 37, 	Polynomial: x^37 + x^35 + x^34 + x^33 + x^29 + x^28 + x^26 + x^24 + x^16 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5 + x^4 + x^2 + 1;
Length:  74, 	Linear: 37, 	Polynomial: x^37 + x^35 + x^34 + x^33 + x^29 + x^28 + x^26 + x^24 + x^16 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5 + x^4 + x^2 + 1;
Length:  75, 	Linear: 38, 	Polynomial: x^38 + x^35 + x^32 + x^29 + x^25 + x^23 + x^22 + x^21 + x^15 + x^13 + x^12 + x^9 + x^8 + x^3 + x^2 + x^1 + 1;
Length:  76, 	Linear: 38, 	Polynomial: x^38 + x^37 + x^34 + x^33 + x^32 + x^28 + x^26 + x^25 + x^24 + x^23 + x^22 + x^21 + x^16 + x^15 + x^13 + x^12 + x^11 + x^10 + x^6 + x^5 + x^4 + x^3 + x^1;
